กขไม่กระดิกหู|noun,phrase,idiom
การเปิด|noun
การเปิดเสรีการเงินระหว่างประเทศ|noun
การแปรเปลี่ยนที่น่าตกใจ|noun
การแปรรูป|noun
การแปล|noun
การแปลภาษา|noun
การแปลงผัน|noun
การแปลงผันกำลังเชิงอิเล็กทรอนิกส์|noun
การไป|noun
การผจญภัย|noun
การผดุง|noun
การผนึกให้ติดแน่น|noun,phrase
การผละงาน|noun
การผลักดัน|noun
การผลิต|noun
การผลิตเชิงมวล|noun
การผลิตซ้ำ|noun
การผสม|noun
การผสมกลมกลืน|noun
การผสมข้ามพันธุ์|noun
การผสมพันธุ์สัตว์|noun,phrase
การผ่าตัด|noun
การผ่าตัดเพื่อรักษาทรงจมูก|noun,phrase
การผ่าตัดเสริมจมูก|phrase
การผ่าตัดเสริมสวยจมูก|noun,phrase
การผ่าเหล่าของยีน|phrase
การผิดนัดชำระหนี้|noun
การผูกเชือก|noun
การผูกพยาบาท|noun,phrase
การเผชิญหน้า|noun
การเผาผลาญ|noun,phrase
การเผาผลาญอาหาร|noun,phrase
การเผาศพ|noun
การแผ่รังสี|noun
การฝังเข็ม|noun
การฝัน|noun
การฝันจนน้ำอสุจิออก|noun
การฝันว่าได้ร่วมเพศจนน้ำกามหลั่งออกมา|noun
การฝากเงิน|noun
การฝีมือ|noun
การฝึกฝน|noun
การฝึกหัด|noun
การฝึกอบรม|noun,phrase
การเฝ้าจ้อง|noun
การเฝ้าระวัง|noun
การแฝงนัย|noun,phrase
การพนัน|noun
การพนันขันต่อ|noun
การพบ|noun
การพยากรณ์|noun
การพยากรณ์อากาศ|noun
การพยุงราคา|noun
การพักผ่อน|noun
การพักรบ|noun
การพักแรม|noun
การพัฒนา|noun
การพัฒนาสังคม|noun
การพัฒนาอย่างยั่งยืน|noun
การพาณิชย์|noun
การพาณิชย์อิเล็กทรอนิกส์|noun
การพายเรือ|noun
การพายเรือคายัค|noun
การพายเรือบด|noun
การพาสเจอร์ไรส์|noun
การพิจารณา|noun
การพินิจ|noun
การพิพาทเรื่องเขตแดน|noun
การพิพาทเรื่องดินแดน|noun,phrase
การพิมพ์|noun
การพิสูจน์|noun
การพิสูจน์จนสิ้นสงสัย|noun
การพูด|noun
การพูดเกินจริง|noun,phrase
การพูดโทรศัพท์|noun,phrase
การพูดภาษาพื้นเมือง|noun,phrase
การพูดลามก|noun
การพูดสอดขึ้น|noun
การพูดจา|noun
การพูดจาเหลวไหล|noun,phrase
การเพาะกาย|noun,phrase
การเพาะปลูก|noun,phrase
การเพาะพันธุ์สัตว์|noun,phrase
การเพาะเลี้ยงสัตว์น้ำ|noun,phrase
การเพาะเลี้ยงสัตว์น้ำชายฝั่ง|noun,phrase
การเพิ่ม|noun
การเพิ่มเชิงกำลัง|noun,phrase
การแพ้|noun
การแพ้อาหาร|noun
การแพทย์|noun
การแพร่กระจายไปทั่วโลก|noun,phrase
การฟอกเงิน|noun
การฟ้องร้องคดี|noun
การฟ้อน|noun
การฟ้อนรำพื้นเมือง|verb
การฟันดาบ|noun
การฟื้นตัวทางเศรษฐกิจ|noun
การมวยปล้ำ|noun
การมั่วสุม|noun
การมา|noun
การมาถึง|noun
การมี|noun
การมีชีวิตรอด|noun,phrase
การมีชีวิตอยู่|noun
การมีประจำเดือน|noun
การมีเมียมาก|noun
การมุ่งร้าย|noun,phrase
การเมือง|noun
การยกมรดกให้|noun,phrase
การยกเลิก|noun
การยกเว้น|noun
การยกหางตัวเอง|adjective,verb,phrase,idiom
การยกย่อง|noun
การย่อ|noun
การยอมตาม|noun
การยอมรับ|verb
การยอมรับ|noun
การยอมรับโดยดุษณี|noun
การยอมรับรอง|noun,phrase
การยังชีพ|noun
การยับยั้งชั่งใจ|noun
การยิงธนู|noun
การยินดี|noun
การยิ้ม|noun
การยึดได้|noun,phrase
การยื่น|noun
การเย็ด|noun
การเย็บผ้า|noun
การเย็บร้อย|noun
การเย็บเสื้อ|noun
การเยียวยา|noun
การเยียวยาทางศาล|noun
การเยือนต่างประเทศ|noun
การเยื้อน|noun
การแยก|noun
การแยกส่วน|noun
การรณรงค์|noun,phrase
การรถไฟ|noun
การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย|noun
การรถไฟหลวง|noun
การรถไฟแห่งประเทศไทย|noun
การรบ|noun
การรบกวน|noun
การรวมกัน|noun
การรวมศูนย์|noun
การร่วมประเวณี|noun
การร่วมเพศ|noun
การร่วมเพศทางปาก|noun
การร่วมเพศทางปากสำหรับผู้ชาย|noun
การร่วมมือ|noun
การร่วมมือกันในทางลับ|verb,phrase
การรองรับ|noun
การร้องขอ|noun
การร้องเสียงไชโย|noun,phrase
การระบาด|noun
การระบุตัว|noun
การระเบิด|noun
การระเบิดปรมาณู|noun
การระวัง|noun
การรัก|noun
การรักษา|noun
การรักษาที่ได้ผล|noun,phrase
การรักษาพยาบาล|noun
การรักษาโรคให้หาย|noun,phrase
การรักษาสุขภาพ|noun,phrase
การรัดเข็มขัด|noun,phrase
การรับน้องใหม่|noun
การรับประกัน|noun
การรับประทาน|noun
การรับรอง|noun
การรับส่งข้อมูลความเร็วสูงไร้สาย|noun
การรับสมัคร|noun
การรับเข้า|noun,phrase
การรับสารภาพ|noun,phrase
การรับสารภาพผิด|noun,phrase
การรั่ว|noun
การรุก|noun
การรุกกลับ|noun
การรุกราน|noun
การรู้คิด|noun
การเร่ง|noun
การเรียกร้อง|noun
การเรียง|noun
การเรียงความ|noun
การเรียน|noun
การเรียนการสอน|noun,phrase
การเรียนในหลักสูตรวิชาชีพ|noun,phrase
การเรียนรู้|noun
การลงแขก|noun
การลงคะแนนเสียงเลือกตั้ง|noun
การลงทะเบียน|noun
การลงทัณฑ์|noun
การลงทุน|noun
การลงโทษ|noun
การลงโทษจำคุกตลอดชีวิต|noun
การลงโทษทางร่างกาย|noun
การลงพื้นที่เก็บข้อมูล|noun
การลด|noun
การลดขนาดของอาร์กติก|noun,phrase
การลดถอยของโอโซน|noun
การลดราคา|noun
การลดหย่อน|noun
การล้น|noun
การล่มสลาย|noun
การล่มสลายของอาณาจักรโรมัน|noun,phrase
การล้มละลาย|noun
การล่วงละเมิดทางเพศ|noun
การล่อ|noun
การลอกเลียนลิขสิทธิ์|noun
การล่องแพในกระแสน้ำเชี่ยว|noun
การลอบวางเพลิง|noun
การลอบสังหาร|noun
การล้อมปราบ|noun
การละเว้นความชั่ว|noun,phrase
การละทิ้ง|noun
การละลาย|noun
การละเล่น|noun,phrase
การละเล่นไทยในสมัยก่อน|noun,phrase
การลัดวงจร|noun
การลาคลอด|noun
การลาหยุดพัก|noun
การลาออก|noun
การล่า|noun
การล่าอาณานิคมครั้งใหม่|noun
การลาก|noun
การลาดตระเวน|noun
การลึกกร่อน|noun
การลุกขึ้น|noun
การเล่น|noun
การเล่นกระดานโต้ลม|verb
การเล่นกล|noun,phrase
การเล่นแคร่เลื่อนหิมะ|noun
การเล่นโรลเลอร์สเกต|verb
การเล่นว่าว|noun
การเล่นวินด์เซิร์ฟ|verb
การเล่นวินด์เซิร์ฟ|noun
การเล่นสกปรก|noun
การเล่นสกีน้ำ|noun
การเล่นสกีผ่านป่าเขา|noun
การเล่นสกีลงเนิน|verb
การเล่นสเกตน้ำแข็ง|noun
การเลิกทาส|noun,phrase
การเลี้ยง|noun,phrase
การเลี้ยว|noun
การเลือก|noun
การเลือกตั้ง|noun
การเลือกตั้งแบบบัญชีรายชื่อ|noun
การเลือกปฏิบัติ|noun
การเลื่อน|noun
การแลกเปลี่ยนทรัพยากร|noun,phrase
การแล่นรถยนต์หิมะ|noun
การแล่นเรือใบ|noun
การวัด|noun
การวัดความถนัดในวิชาชีพ|noun
การวัดแสงแบบเฉพาะจุด|noun,phrase
การว่าจ้าง|noun
การวาง|noun
การวางผังเมือง|noun,phrase
การวางแผนทรัพยากรองค์กร|noun
การวางมาตรการ|noun
การว่างงาน|noun
การว่ายน้ำ|noun
การวิเคราะห์ระบบและการออกแบบ|noun,phrase
การวิ่ง|noun
การวิ่งแข่ง|noun
การวิ่งอย่างอลหม่าน|noun,phrase
การวิ่งออกกำลังกาย|noun
การวิจัย|noun
การวิจัยและพัฒนา|noun
การวิทยาศาสตร์|noun
การวินิจฉัย|noun
การศึกษา|noun
การศึกษา|noun
การศึกษาเกี่ยวกับการดัดแปลงวัฒนธรรมของมนุษย์ให้เข้ากับสิ่งแวดล้อม|noun,phrase
การศึกษาเกี่ยวกับภูมิคุ้มกันโรคและการสร้างภูมิคุ้มกันโรค|noun,phrase
การศึกษาดูงาน|noun
การศึกษาตามอัธยาศัย|noun
การศึกษานอกระบบ|noun
การศึกษาเบื้องต้น|noun
การศึกษาภาษา|noun
การศึกษามวลชน|phrase
การศึกษาหรือการสะสมเหรียญกษาปณ์|noun,phrase
การสกัด|noun
การสกัด|noun
การส่ง|noun
การส่งจดหมาย|noun
การส่งเสริม|noun
การส่งออก|noun
การสงคราม|noun
การสงบศึก|noun,phrase
การสนทนา|noun
การสนับสนุน|noun
การสมรส|noun
การสร้าง|noun
การสร้างความสมจริงในการแต่งเรียงความ|noun,phrase
การสร้างสรรค์|noun
การสวนสนาม|noun
การสวมสิทธิ์|noun
การส่องดูนก|noun
การสอดแนม|noun,phrase
การสอดใส่|noun
การสอน|noun
การสอนภาษาอังกฤษ|noun
การสอนหรือเผยแพร่คำสอนของพระเยซูคริสต์|noun
การสอบ|noun
การสอบกลางภาคเรียน|noun
การสอบเข้ามหาวิทยาลัย|noun
การสอบเทียบ|noun
การสอบสวนสืบสวน|noun
การสะกดการันต์|noun
การสะกดจิต|noun
การสะกดผิด|noun
การสะพายเป้|noun
การสะสม|noun
การสะสมแสตมป์|noun
การสะสมเหรียญ|noun
การสักการะ|noun
การสั่ง|noun
การสังเกต|noun
การสังเคราะห์แสง|noun
การสังวาส|noun,phrase
การสังหารหมู่|noun,phrase
การสั่นสะเทือน|noun
การสั่นสะเทือนเลื่อนลั่น|noun
การสันดาปภายใน|noun
การสัมผัสอักษร|noun,phrase
การสาน|noun
การสาปแช่ง|noun
การสารภาพ|noun
การสำรวจ|noun,phrase
การสำรวจอวกาศ|noun
การสำเร็จความใคร่|noun
การสำเร็จความใคร่ด้วยตนเอง|noun
การสำลัก|noun
การสืบพระราชสันตติวงศ์|noun
การสืบราชสันตติวงศ์|noun
การสืบสาว|noun
การสื่อสาร|noun
การสุขาภิบาล|noun
การสู้|noun
การสู้รบ|noun
การสู้รบแบบกองโจร|noun,phrase
การสูญเสีย|noun
การสูญเสียส่วนแบ่งการตลาด|noun
การสูบบุหรี่|noun
การเสนอ|noun
การเสนอแนะ|noun
การเสพ|noun
การเสพแอลกอฮอล์|phrase
การเสริมฤทธิ์ซึ่งกันและกัน|noun
การเสียสละ|noun
การเสี่ยงภัย|noun
การเสี่ยงหัวก้อย|noun
การแสดง|noun
การแสดงความคิดเห็น|noun
การแสดงความยินดี|noun
การแสดงดนตรี|noun
การแสดงดนตรีร็อค|noun
การแสดงท่าทาง|noun
การแสดงมายากล|noun,phrase
การแสดงศิลปวัฒนธรรม|noun
การแสดงออก|noun
การแสดงออก|noun
การแสวงหา|noun
การแสวงหาสัจจะ|noun,phrase
การหนี|noun
การหนีของฝูงสัตว์|noun,phrase
การหมั้น|noun
การหมุนเวียน|noun
การหยุดพัก|noun
การหยุดยิง|noun
การหยุดระหว่างทาง|noun,phrase
การหลงใหลอย่างไม่ลืมหูลืมตา|noun,phrase
การหลงใหลอย่างไม่ลืมหูลืมตา|noun
การหลอกลวง|noun
การหลอมรวม|noun
การหลั่ง|noun
การหลั่งน้ำกาม|noun
การหลั่งไหล|noun,phrase
การหักเห|noun
การหัวเราะ|noun
การหาพันธมิตร|noun
การหาม|noun
การห้ามประชาชนออกนอกบ้านในระยะเวลาที่กำหนด(มักเป็นเวลากลางคืน)|noun,phrase
การหายสาบสูญ|noun,phrase
การหาร|noun
การเห็นแย้งกัน|noun
การเหยียดหยาม|noun
การโหนร่อน|noun
การให้|noun
การให้|noun
การให้กู้|noun,phrase
การให้ทาน|noun
การให้ยืม|noun,phrase
การให้สัญญาณ|noun
การไหล|noun
การไหลเวียนของเลือด|verb,phrase
การไหลเวียนเลือด|noun
การไหลออกของเลือด|noun
การอด|noun
การอดนอน|noun
การอดหรืออิ่ม|adverb
การอธิษฐาน|noun
การอนาจาร|noun
การอนามัย|noun
การอนุญาต|noun
การอนุพันธ์|noun
การอนุรักษ์|noun
การอบรม|noun,phrase
การอบรม|noun
การอบรมบ่มเพาะ|noun,phrase
การอบรมเบื้องต้น|noun
การอพยพ|noun
การอภัยโทษเด็ดขาดโดยไม่มีเงื่อนไข|noun,phrase
การอภิปราย|noun
การอมหรือเลียองคชาต|noun,phrase
การอยู่|noun
การอยู่รอด|noun
การออกกำลัง|noun
การออกกำลังกาย|noun
การออกเสียง|noun
การออกเสียง|noun
การอ๊อก|noun
การออม|noun
การอักเสบ|noun
การอ่าน|noun
การอ่านออกเขียนได้|noun
การอิ่มใจ|noun
การอุดหนุน|noun
การอุดหนุนด้านการเกษตร|noun
การอุทิศตน|noun
การอุบัติ|noun
การอุ้มบุญ|noun
การเอ่ยถึง|verb
การโอ้อวด|noun
การโอน|noun
การโอนอ่อน|noun
การโอนอ่อนตามแรงกดดัน|noun
การไอ|noun
การก|noun
การณ์|noun
การ์ดขวา|noun
การ์ดซ้าย|noun
การ์ตูน|noun
การ์ตูนนิสต์|noun
การนิยม|adjective
การบูร|noun
การแลกเปลี่ยน|noun
การันต์|noun
การันตี|noun,verb
การุญ|noun
การุณยฆาต|noun
กาล|noun,poetic
กาลครั้งหนึ่ง|phrase
กาลครั้งหนึ่งนานมาแล้ว|adverb
กาลนาน|adverb
กาลวิเศษณ์|noun
กาลอันควร|noun
กาลกิณี|noun,adjective
กาลเทศะ|noun,adverb
กาลปาวสาน|adverb
กาลานุกรม|noun
กาลี|adjective
กาลีบ้านกาลีเมือง|noun,adjective,idiom
กาว|noun
กาวใจ|noun
กาวใจ|noun
กาวแท่ง|noun
ก้าว|verb,noun
ก้าวกระโดด|verb
ก้าวกระโดดแห่งศรัทธา|noun
ก้าวไกล|verb
ก้าวไกล|adjective
ก้าวเท้า|verb
ก้าวเท้าเข้าไป|verb
ก้าวพลาดถลำลงไปสู่ห้วงเหวแห่งความทุกข์|verb,phrase
ก้าวแรก|noun
ก้าวล่วง|verb
ก้าวล้ำ|verb
ก้าวสู่|verb
ก้าวหน้า|verb
ก้าวหน้า|adjective
ก้าวก่าย|verb
กาวน์|noun
ก้าวร้าว|verb,noun
กาสร|noun
กาสาวพัสตร์|noun
กาหลง|noun
กาฬ|adjective,noun
กาฬโรค|noun
กำ|verb,noun
กำกับ|verb
กำกับพฤติกรรม|verb,phrase
กำขี้ดีกว่ากำตด|idiom
กำมือ|verb
กำมือ|noun
กำมือ|noun
กำหมัด|verb,phrase
ก่ำ|adjective
ก้ำ|noun
ก้ำกึ่ง|adjective
ก้ำๆกึ่งๆ|adjective
ก้ำเกิน|verb
กำกวม|adjective,noun
กำจัด|verb,transitive,intransitive
กำจาย|verb
กำชับ|verb
กำชับกำชา|verb
กำซาบ|verb
กำเดา|noun
กำนัล|noun,verb
กำเนิด|verb,noun
กำเนิดทารก|noun
กำบัง|verb,noun
กำปั่น|noun
กำปั้น|noun
กำปั้นทุบดิน|adverb,phrase
กำพด|noun
กำพร้า|noun,adjective
กำพราก|noun
กำพืด|noun
กำแพง|noun
กำแพงเมือง|noun,phrase
กำแพงอิฐ|noun
กำมะถัน|noun
กำมะลอ|adjective
กำมะหยี|noun
กำมะหยี่|noun
กำมะหริด|noun
กำยาน|noun
กำยำ|adjective
กำยำล่ำสัน|adjective
กำราบ|verb
กำเริบ|verb,intransitive,adjective
กำเริบเสิบสาน|adjective,phrase,idiom
กำเริบเสิบสาน|verb
กำไร|noun,adjective
กำไรฉาบฉวยเฉพาะหน้า|noun
กำไรเนื้อๆ|noun
กำไรสุทธิ|noun
กำลัง|noun
กำลังกลับ|verb
กำลังกาย|noun
กำลังกิน|verb
กำลังกิน|adjective
กำลังใกล้เข้ามา|phrase
กำลังขาย|verb
กำลังเขียน|verb
กำลังคอย|verb
กำลังคอยกันอยู่|verb,phrase
กำลังคิด|verb
กำลังเครื่องเมื่อบินด้วยความเร็วคงที่|noun,phrase
กำลังจะกลับไป|verb
กำลังจะกิน|verb
กำลังจะเขียน|verb
กำลังจะช่วย|verb
กำลังจะดื่ม|verb
กำลังจะเดิน|verb
กำลังจะทำ|verb
กำลังจะปิด|verb
กำลังจะเปิด|verb
กำลังจะไป|verb
กำลังจะพูด|verb
กำลังจะมา|verb
กำลังจะมี|verb
กำลังจะยิ้ม|verb
กำลังจะรัก|verb
กำลังจะเล่น|verb
กำลังจะว่า|verb
กำลังจะวิ่ง|verb
กำลังจะหมุน|verb,phrase
กำลังจะให้|verb
กำลังจะอ่าน|verb
กำลังใจ|noun
กำลังช่วงชิง|verb
กำลังช่วย|verb
กำลังใช้|verb
กำลังซื้อ|noun
กำลังซื้อ|verb
กำลังดื่ม|verb
กำลังเดิน|verb
กำลังเดือดร้อน|verb
กำลังตก|verb,intransitive
กำลังทรัพย์|noun
กำลังทหาร|noun
กำลังทาน|verb
กำลังทำ|verb
กำลังนอน|verb
กำลังนั่ง|verb
กำลังบิน|verb
กำลังปิด|verb
กำลังเป็น|verb
กำลังเปิด|verb
กำลังไป|verb
กำลังผลิต|noun
กำลังพยายาม|verb
กำลังพิมพ์อยู่|verb,phrase
กำลังพูด|verb
กำลังไฟฟ้า|noun
กำลังภายใน|noun,phrase
กำลังมอง|verb
กำลังมา|verb
กำลังมี|verb
กำลังยิ้ม|verb
กำลังเย็บ|verb
กำลังโยน|verb
กำลังรบ|noun
กำลังรอ|verb
กำลังรัก|verb
กำลังเรียน|verb
กำลังเรียนรู้|verb
กำลังเล่น|verb
กำลังวังชา|noun
กำลังว่า|verb
กำลังวิ่ง|verb
กำลังศรัทธา|noun
กำลังส่ง|verb
กำลังสอง|adjective
กำลังสอน|verb
กำลังสัญญาณ|noun
กำลังสำรอง|noun
กำลังเสริม|noun
กำลังหมุน|verb
กำลังหา|verb
กำลังให้|verb
กำลังอยากจะไปเที่ยว|verb,phrase
กำลังอยากทาน|verb
กำลังออกดอก|verb,phrase
กำลังอ่าน|verb
กำลังอาบ|verb
กำลังอาบน้ำ|verb,phrase
กำลังอิจฉา|verb
กำลังเอา|verb
กำไล|noun
กำไลคุมประพฤติ|noun
กำไลเท้า|noun
กำไลมือ|noun
กำสรด|adjective,poetic
กำสรวล|verb
กำหนด|verb,noun
กำหนดเงื่อนไข|verb,transitive,intransitive,phrase
กำหนดตัวไว้|verb
กำหนดรูปทรง|verb,intransitive,phrase
กำหนดให้|verb
กำหนดการ|noun
กำหนัด|noun
กำแหง|verb,adjective
กิ๊ก|noun
กิ๊กก๊อก|adjective
กิง|particle
กิ่ง|noun,classifier
กิ่งก้อย|adjective
กิ่งก้าน|noun
กิ่งทองใบหยก|noun,phrase
กิ่งไม้|noun
กิ่งอำเภอ|noun
กิ้งก่า|noun
กิ้งก่าได้ทอง|idiom
กิ้งกือ|noun
กิจ|noun
กิจกรรม|noun
กิจภายใน|noun
กิจวัตร|noun
กิจวัตรประจำวัน|noun
กิจอันเป็นธรรม|noun
กิจการ|noun
กิจการค้าร่วม|noun,phrase
กิจการเจ้าของคนเดียว|noun,phrase
กิจการร่วมค้า|noun,phrase
กิจจะลักษณะ|adverb
กิจจะลักษณะ|adjective
กิจจา|noun,poetic
กิจจานุกิจ|noun
กิจธุระ|noun
กิต|verb,intransitive
กิตติกรรมประกาศ|noun
กิตติคุณ|noun
กิตติมศักดิ์|adjective
กิตติศัพท์|noun
กิน|verb,transitive,intransitive,noun,adjective
กินกัน|verb
กินเกลี้ยง|verb
กินเกาเหลา|verb,phrase
กินเกินขนาด|noun,verb
กินของเหลือ|verb
กินข้าว|verb
กินข้าวแดง|phrase
กินข้าวไม่ลง|adjective
กินไข่แดง|verb
กินเจ|noun
กินใจ|adjective
กินใจ|adjective
กินซะ|phrase
กินซะเถอะซี่|interjection
กินดีอยู่ดี|verb,phrase
กินได้|adjective,phrase
กินทิ้งกินขว้าง|verb
กินนอกกินใน|verb,phrase
กินน้ำตา|verb
กินน้ำใต้ศอก|idiom
กินน้ำเผื่อแล้ง|idiom
กินน้ำพริกถ้วยเดี่ยว|idiom
กินบนเรือนขึ้นบนหลังคา|adjective,phrase
กินปูนร้อนท้อง|idiom
กินเปล่า|verb,phrase
กินไม่ลง|adjective
กินไม่ลง|adjective
กินไม่ลง|verb
กินไม่หวาดไม่ไหว|verb,phrase
กินไม่อั้น|phrase
กินยาเกินขนาด|verb
กินรวบ|noun
กินรังแตน|adjective
กินรังแตน|verb
กินแรง|verb
กินแรง|verb
กินลม|verb,phrase
กินล้างกินผลาญ|verb,phrase
กินลูกปืน|adjective
กินเล่น|verb
กินเลี้ยง|noun
กินเลือดกินเนื้อ|verb,phrase
กินเวลา|verb,phrase
กินสินบน|verb,phrase
กินเหมือนแมวดม|verb,phrase
กินเหลือ|verb
กินแหนง|verb
กินแหนงแคลงใจ|adjective,phrase
กินให้เหลือ|verb
กินอาหาร|verb
กินนร|noun,poetic
กินรี|noun,poetic
กิ๊บ|noun
กิ๊บรัดท่อ|noun
กิ๊บเก๋|adjective
กิ๊ฟท์|noun
กิมจิ|noun
กิริยา|noun
กิริยาดี|noun
กิริยามารยาท|noun
กิริยาอาการ|noun
กิเลน|noun
กิเลส|noun
กิเลสตัณหา|noun
กิโล|noun
กิโลกรัม|noun
กิโลไซเกิ้ล|noun
กิโลเมตร|noun
กิโลเมตรต่อชั่วโมง|noun,phrase
กิโลลิตร|noun
กิโลวัตต์|noun
กิ่ว|adjective
กี่|adverb,noun
กี่ครั้ง|noun,phrase
กี่ครั้งกี่หน|adverb
กี่มากน้อย|adverb
กี่โมง|adverb
กี้|adjective
กีฏวิทยา|noun
กีด|verb
กีดกัน|verb,transitive,intransitive,phrase
กีดกั้น|verb
กีดขวาง|verb
กีดหน้าขวางตา|verb,phrase
กีตาร์|noun
กีบ|noun
กีวี|noun
กีฬา|noun
กีฬาคริกเก็ต|noun
กีฬาทางน้ำ|noun
กีฬาที่ต้องใช้กำลัง|noun
กีฬาบาสเก็ตบอล|noun
กีฬาเบสบอล|noun
กีฬาฤดูหนาว|noun
กีฬาสำหรับการชม|noun,phrase
กึก|adverb
กึกก้อง|verb
กึกกัก|adjective
กึ่ง|adjective
กึ่งกลาง|adjective,phrase
กึ่งทางการ|adjective
กึ่งราชการ|adjective
กึ่งอัตโนมัติ|adjective
กึ๋น|noun
กึ๋ย|interjection
กุ|verb,intransitive
กุเรื่อง|verb
กุ๊ก|noun,prefix
กุ๊กกิ๊ก|verb
กุ๊กกิ๊ก|adjective
กุ๊กกิ๊กจู๋จี๋|verb
กุ๊กก๊อก|noun
กุ้ง|noun
กุ้งก้ามกราม|noun
กุ้งกุลาดำ|noun
กุ้งขาวแวนนาไม|noun
กุ้งเคย|noun
กุ้งตัวเล็ก|noun
กุ้งฝอย|noun
กุ้งมังกร|noun
กุ้งใหญ่|noun
กุ้งแชบ๊วย|noun
กุญแจ|noun
กุญแจกระบอก|noun
กุญแจปากตาย|noun
กุญแจมือ|noun
กุญแจรหัส|noun
กุญแจเลื่อน|noun
กุญแจสู่ความดีเลิศ|noun,phrase,idiom
กุญแจเสียง|noun
กุญชร|noun,poetic
กุฎาคาร|noun
กุฏิ|noun
กุณฑล|noun
กุด|adjective
กุ๊ดจี่|noun
กุดั่น|noun
กุน|adjective,noun
กุนนทีรุทธาราม|phrase
กุโบร์|noun
กุม|verb
กุมขมับ|adjective
กุมบังเหียน|verb
กุมบังเหียน|verb
กุมอำนาจ|verb
กุมภ์|noun
กุมภาพันธ์|noun
กุมภาฯ|noun
กุมาร|noun
กุมารแพทย์|noun
กุมารี|noun,poetic
กุย|noun
กุ๊ย|noun,adjective
กุ่ยไฉ่|noun
กุ่ยไฉ่ขาว|noun
กุยช่าย|noun
กุล|noun
กุลบุตร|noun
กุลธิดา|noun
กุลสตรี|noun
กุลา|noun
กุลาขาว|noun
กุลาดำ|noun
กุลี|noun,adjective
กุลีกุจอ|verb,adjective
กุศล|noun,adjective
กุศลกรรม|noun
กุศลเจตนา|noun
กุศโลบาย|noun
กุหลาบ|noun
กุหลาบไฟ|noun
กู|pronoun
กู่|verb,noun
กู่ร้อง|verb
กู้|verb,transitive
กู้เงิน|verb
กู้ชาติ|verb,phrase
กู้ยืม|verb
กู้เรือ|verb
กู้วิกฤต|verb,phrase
กู้หน้า|verb
กู้หนี้ยืมสิน|verb,phrase,idiom
กู้เอกราช|verb
กูเกิล|noun
กูด|noun
กูรู|noun
กูล|noun
เก|adjective,verb
เก๊|adjective
เก๋|adjective,interjection
เก๊ก|adjective,verb
เก๊กซิม|verb
เกกมะเหรก|noun
เก๊กฮวย|noun
เก้กัง|adverb
เก๋ไก๋|interjection
เก็ง|verb
เก็งกำไร|noun
เก็งกำไรค่าเงิน|noun
เก็งกำไรค่าเงินบาท|noun
เก็งข้อสอบ|verb,phrase
เก่ง|adjective
เก่งกล้า|adjective
เก้ง|noun
เก๋ง|noun
เก้งก้าง|adjective
เก่งกาจ|adjective
เก่งเทพๆ|adjective
เกจ์|noun
เกจ์วัดแรงดัน|noun
เกจิ|noun
เกจิอาจารย์|noun
เกจิอาจารย์|noun
เกณฑ์|noun,verb
เกณฑ์ข้อบังคับสำคัญต่างๆ|noun,phrase
เกณฑ์ทหาร|verb,phrase
เกณฑ์มาตรฐาน|noun
เกณฑ์มาตรฐานผู้ประกอบวิชาชีพเวชกรรมของแพทยสภา|noun
เกณฑ์วัตถุวิสัย|noun
เกณฑ์อัตวิสัย|noun
เก๊ต|verb,intransitive
เกตุ|noun
เก็ท|verb
เกทับ|verb
เก็บ|verb,transitive
เก็บกด|adjective
เก็บกวาด|verb
เก็บกิน|verb
เก็บเกี่ยว|verb
เก็บข้อมูลจำนวนประชากร|verb
เก็บของ|verb
เก็บของลงกระเป๋า|verb
เก็บขึ้น|verb
เก็บเข้า|verb
เก็บค่าต๋ง|verb
เก็บงาน|verb
เก็บงำ|verb
เก็บงำไว้|verb,phrase
เก็บเงิน|verb
เก็บเงินเก็บทอง|verb,phrase
เก็บเงินด้วยบิล|verb,transitive,phrase
เก็บเงินทางด่วน|verb
เก็บเงินไว้|noun
เก็บดอกไม้|verb
เก็บตก|verb
เก็บตก|verb
เก็บตังค์|phrase
เก็บตัว|adjective
เก็บตัว|verb
เก็บที่นอน|verb
เก็บเนื้อเก็บตัว|verb
เก็บเบี้ยใต้ถุนร้าน|idiom
เก็บภาพ|verb
เก็บภาษี|phrase
เก็บรักษา|verb
เก็บเล็กผสมน้อย|verb
เก็บไว้|verb
เก็บไว้ในตู้|verb,phrase
เก็บสำรอง|verb
เก็บใส่ลิ้นชัก|verb,phrase
เก็บใส่ลิ้นชัก|verb,idiom
เก็บหอมรอมริบ|verb
เก็บอาการ|verb
เกม|noun
เกมชนิดต่างๆ|noun,phrase
เกมบอล|noun,phrase
เกมเศรษฐี|noun
เกมสแครบเบิล|noun
เกมส์|noun
เกมส์คอมพิวเตอร์|noun
เกย์|noun,adjective
เกย|noun,verb
เกยคางกับ|verb,phrase
เกยตื้น|verb
เกยฝั่ง|verb,intransitive
เกรง|adjective,noun
เกรงกลัว|adjective
เกรงใจ|adjective
เกรงว่า|verb
เกร็ง|noun
เกร็งกล้าม|verb
เกรงขาม|adjective,verb
เกร็ด|noun,classifier
เกร็ดความรู้|noun
เกร็ดชีวิต|noun
เกรดเอ|adjective
เกร้ปฟรุต|noun
เกร่อ|adverb
เกรอะ|noun,verb,adjective
เกรอะกรัง|adjective
เกราะ|noun,adjective
